,channel_id,channel_name,purpose
0,C03LC9SRN0J,0-000-全体アナウンス-全体,このチャンネルには、常にすべてのメンバーが含まれます。社内通知やチーム全体の会話にぴったりです。
1,C03LHANDQ6N,1-003-宿題-成果物の共有-1期向け,
2,C03LNQ8A9MG,1-001-講義資料置き場-1期向け,
3,C03LW2RCZ4Z,0-003-運営への質問や要望-全体,
4,C03M22GG3UG,0-002-新規入室者向け-全体,このチャンネルでは、どんなことでも話せます。チーム内のジョークや、とっさに思い付いたアイデア、おもしろい GIF 画像を投稿できます。思いのままに活用しましょう！
5,C03M75QMAMN,0-004-自己紹介-任意-新メンバー向け-全体,
6,C03M76V72L8,1-005-講義や課題への質問と進捗報告-1期向け,
7,C03M78E4U3A,0-005-情報共有-雑談-何でも可-全体,
8,C03MCH2NXL0,1-002-講義ビデオ-vimeo-1期向け,
9,C03NDLK76VC,1-004-授業中質疑応答-1期向け,
10,C03NZEA9A9Y,0-001-重要なリンク集及びスケジュール-全体,
11,C03Q87UU5F0,1-006-班1-web系サービス-1期向け,
12,C03QEQ0HW83,1-006-班2-データ分析-1期向け,
13,C03QUTAPY4W,2-000-全体アナウンス-2期向け,
14,C03QUTQ50LE,2-002-講義ビデオ-vimeo-2期向け,
15,C03QV1JMT1C,1-000-全体アナウンス-1期向け,
16,C03QV73SV9C,2-003-宿題-成果物の共有-2期向け,
17,C03R1HBSP7U,2-004-授業中質疑応答-2期向け,
18,C03R3VB0WEQ,2-001-講義資料置き場-2期向け,
19,C03REQNK96Y,0-006-ブートキャンプルール,
20,C03RRHPSKDE,2-005-講義や課題への質問と進捗報告-2期向け,
21,C03UK9YFMK8,3-002-よく使うリンク集-3期向け,
22,C03UKA29JSJ,3-004-質疑応答-授業や課題への質問等-3期向け,
23,C03UNUGHTUM,3-000-全体アナウンス-3期向け,
24,C03URQWBUJF,3-007-班1-sirink-web開発-フロントエンド,
25,C03URTULZRQ,3-001-講義資料-授業ビデオ-置き場-3期向け,
26,C03UUBVJYBE,3-003-宿題-成果物の共有-3期向け,M
27,C03V3RSV6NP,3-006-自己紹介-任意-3期向け,
28,C03V4HLRCRX,3-005-情報共有-雑談-何でも可-3期向け,
29,C040YB7N0KH,2-006-班2-digital-natures-webアプリケーション,
30,C040YB8UFFH,2-006-班3-スパイダーマン-データベースやデータ分析,
31,C040YB9UBMM,2-006-班4-弁当売上予測集団-データベースやデータ分析,データベースやデータ分析の班です。
32,C041FBVL6TE,2-006-班1-team-shipit-web系-フロントエンド,
33,C041FUJ3DBP,1-007-step3-班2,
34,C041JQHEPJP,1-007-step3-班1,
35,C045ZE4G5TQ,2-007-班2-いつかどこかでやっちゃえkaos班-データ分析plusα,
36,C0463459E3X,2-007-班3-さくさくぱんだ-データ分析,
37,C0468FZLYS0,2-007-班1-kanpy-webアプリ,
38,C0468GBDKV2,2-007-班4-ふるすたっくまん-web開発フロント,
39,C046H1PUU7J,2-007-実案件の紹介と管理,
40,C047BG78KJB,3-007-班2-おでん-webアプリ,
41,C047H15M98X,3-007-班3-ドキドキ-webアプリ-データ分析,
42,C048A6M18Q1,3-007-班4-超太巻高専-webアプリ,
43,C048A6MCS49,3-007-班5-ブンセキテイオー-データ分析,
44,C048BMV8GAD,3-007-班7-sss-データ分析,
45,C048BMVRAQH,3-007-班8-すえひろがり-データ収集,"<@U042H4MBAES> （班長:sparkles:）
<@U042A1JUFDY>
<@U03V7TFU9D0>
<@U03UL705MM2>
<@U042H6JTEDU>
<@U04272FBY1K>
<@U043J1ZMUC8>
<@U041VEB4HGF>
<@U041NNDEGPR>
<@U0423DAD4DC>"
46,C048M8G471N,3-007-班6-分福茶釜-データ分析,
47,C04BB7J22MR,3,
48,C04BB80RHQX,2-008-班4-y4-step3,
49,C04BK6PDQ94,3-008-班4-シロサギ-webスクレイピング,
50,C04BNRMN5JR,2-008-班3-dy_dx-step3,
51,C04BNRZ0CAZ,3-008-班5-トイック-webスクレイピング,
52,C04BRQDNZ8S,3-008-班10-アプリ開発及びデータ分析,
53,C04BU86TNF6,2-xxx-予備,
54,C04BU8JAESY,3-008-班8-残業dx-業務効率化,
55,C04BU8JV56G,3-008-班9-こうきゅうおすし-web開発,
56,C04C4DQ1VL1,3-008-班2-爆速-アプリ開発,
57,C04C4DQKT1P,3-008-班3-きょーきゃら-アプリ開発,
58,C04CFF36AQG,2-008-班1-麦さけの一味-step3,
59,C04CFF6G4HW,2-008-班2-もういくつ寝てもtech0-step3,
60,C04CFF8DCSU,2-008-班5-親-step3,
61,C04CFFA5AUQ,3-008-班1-cheers-post-アプリ開発,
62,C04CFFK2BFA,3-008-班6-ギンカク-データ分析,
63,C04CFFKNBEU,3-008-班7-カントー在住-データ分析,
64,C04FQELN083,4-003-宿題-成果物の共有-4期向け,
65,C04FQHZ6CQJ,4-005-情報共有-雑談-何でも可-4期向け,
66,C04FT212WR2,4-000-全体アナウンス-4期向け,
67,C04G379SV89,4-002-よく使うリンク集-4期向け,
68,C04G37ADATB,4-004-質疑応答-授業や課題への質問等-4期向け,
69,C04G37B729X,4-006-自己紹介-任意-4期向け,
70,C04GE925A1E,4-001-講義資料-授業ビデオ-置き場-4期向け,
71,C04GLGN3V7X,0-101-英語部,
72,C04GPBW69R9,0-102-起業部,
